model,org,params_m,model_type,model_link,testdata_leakage,replication_code_available
tide,Google Research,,deep-learning,,No,No
N-BEATS,ServiceNow,,deep-learning,,No,No
DLinear,The Chinese University of Hong Kong,,deep-learning,,No,No
deepar,Amazon Research,,deep-learning,,No,No
TTM-R2-Pretrained,IBM Research,0.8,pretrained,https://huggingface.co/ibm-granite/granite-timeseries-ttm-r2,Yes,Yes
Lag-Llama,Morgan Stanley & Service Now,2.4,pretrained,https://huggingface.co/time-series-foundation-models/Lag-Llama,Yes,No
TTM-R1-Pretrained,IBM Research,0.8,pretrained,https://huggingface.co/ibm-granite/granite-timeseries-ttm-r1,Yes,Yes
auto_arima,,,statistical,,No,No
seasonal_naive,,,statistical,https://github.com/SalesforceAIResearch/gift-eval/blob/main/notebooks/naive.ipynb,No,Yes
auto_theta,,,statistical,,No,No
naive,,,statistical,https://github.com/SalesforceAIResearch/gift-eval/blob/main/notebooks/naive.ipynb,No,Yes
VISIT-1.0,,,pretrained,,No,No
crossformer,Shanghai Jiao Tong University,,deep-learning,,No,No
auto_ets,,,statistical,,No,No
